,gender_female,gender_male,region_Chungcheung,region_Honam,region_Others,region_Sudo,region_Youngnam,edu,income,age,score_gov,score_progress,score_intention,vote,parties
76,0,1,0,0,0,0,1,1.0,0.3333333333333333,0.6666666666666667,0.5,0.5,0.44999999999999996,1,4
77,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.5,0.75,0.5,1,4
78,0,1,0,0,0,0,1,1.0,1.0,1.0,0.0,0.25,0.5,1,2
79,0,1,0,1,0,0,0,0.5,0.6666666666666667,0.3333333333333333,1.0,0.75,0.55,1,3
80,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.5,1.0,0.65,1,1
81,0,1,0,1,0,0,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.30000000000000004,0,4
82,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.5,0.25,0.75,1,2
83,0,1,0,0,0,0,1,0.5,0.3333333333333333,0.6666666666666667,0.5,0.75,0.4,1,4
84,0,1,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.25,0.6,1,2
85,0,1,0,1,0,0,0,0.0,0.6666666666666667,0.6666666666666667,0.75,0.75,0.35,1,1
86,0,1,0,0,1,0,0,1.0,1.0,0.6666666666666667,0.5,1.0,0.44999999999999996,1,2
87,0,1,0,0,0,1,0,0.5,0.3333333333333333,0.6666666666666667,0.5,0.5,0.8,1,4
88,0,1,0,0,0,1,0,1.0,1.0,1.0,0.5,0.75,0.65,1,3
89,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,1.0,0.7,1,3
90,0,1,0,0,0,1,0,1.0,1.0,0.6666666666666667,1.0,0.25,0.0,1,2
91,0,1,0,0,0,1,0,1.0,1.0,0.6666666666666667,1.0,0.5,0.09999999999999998,0,1
92,1,0,0,0,0,1,0,0.5,0.6666666666666667,0.3333333333333333,0.5,0.75,0.2,1,4
93,0,1,1,0,0,0,0,1.0,0.6666666666666667,0.3333333333333333,0.75,0.75,0.4,1,3
94,0,1,0,0,0,1,0,1.0,0.6666666666666667,0.6666666666666667,0.75,0.75,0.55,1,3
95,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.3333333333333333,0.25,0.5,0.55,0,4
96,1,0,0,0,0,0,1,1.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5,0,2
97,0,1,0,0,0,0,1,1.0,0.6666666666666667,0.6666666666666667,0.25,0.0,0.35,1,2
98,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.3333333333333333,0.75,0.75,0.35,1,4
99,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.75,0.75,0.55,1,3
100,0,1,0,0,0,1,0,0.5,0.3333333333333333,0.6666666666666667,0.25,0.25,0.55,1,1
101,0,1,0,0,0,1,0,1.0,0.6666666666666667,0.6666666666666667,0.75,0.75,0.35,1,1
102,0,1,0,0,0,0,1,0.5,0.6666666666666667,0.6666666666666667,0.5,0.75,0.0,1,3
103,0,1,1,0,0,0,0,1.0,0.6666666666666667,0.6666666666666667,1.0,0.75,0.55,1,1
104,0,1,0,0,1,0,0,1.0,1.0,0.6666666666666667,0.5,0.5,0.55,1,3
105,0,1,0,1,0,0,0,0.5,0.6666666666666667,0.6666666666666667,0.75,0.75,0.5,1,3
